Nome;CNPJ;Razao;Rede;Cluster;Estado;Cidade;Bairro;Endereco;Numero;Complemento;Pontos
Rake & Rai Telecomunicacoes Ltda - Shopping Boulevard Tatuape - KIOSQUE;1,45E+12;Shopping Boulevard Tatuape;Rake & Rai Telecomunicacoes Ltda;C;SP;São Paulo;Tatuapé;"R GONCALVES CRESPO, 78 - Tatuapé, São Paulo - SP (03.066-030) - QUIOSQ: 29; PAVMTO: 1"; -; -; -
Rake & Rai Telecomunicacoes Ltda - Shopping Central Plaza - KIOSQUE;1,45E+12;Shopping Central Plaza;Rake & Rai Telecomunicacoes Ltda;C;SP;São Paulo;Vila Prudente;Av Dr Francisco de Mesquita, 1000; -; -; -
Rake & Rai Telecomunicacoes Ltda - Shopping Iguatemi Caxias do Sul - LOJA;1,45E+12;Shopping Iguatemi Caxias do Sul;Rake & Rai Telecomunicacoes Ltda;A;RS;Caxias do Sul;Desvio Rizzo ;Rod Rsc 453 Km 3,5, 2780 - Loja 162 Cep: 95110-130 - Desvio Rizzo - Caxias Do Sul (Rs); -; -; -
Rake & Rai Telecomunicacoes Ltda - Shopping Metro Tatuape - KIOSQUE;1,45E+12;Shopping Metro Tatuape;Rake & Rai Telecomunicacoes Ltda;C;SP;São Paulo;Tatuapé;Avenida Radial Leste, s/n Quiosque : s/n Piso : S; -; -; -
Rake & Rai Telecomunicacoes Ltda - Shopping Metro Tatuape - LOJA;1,45E+12;Shopping Metro Tatuape;Rake & Rai Telecomunicacoes Ltda;B;SP;São Paulo;Tatuapé;Avenida Radial Leste, s/n Loja: 129 Piso Tatuape; -; -; -
Rake & Rai Telecomunicacoes Ltda - Shopping Metro Tucuruvi - LOJA;1,45E+12;Shopping Metro Tucuruvi;Rake & Rai Telecomunicacoes Ltda;B;SP;São Paulo;Parada Inglesa ;Av Doutor Antonio Maria Laet, 566 - Loja 11.1 Primeiro Piso Terreo Cep: 02240-000 - Parada Inglesa - São Paulo (Sp); -; -; -
Rake & Rai Telecomunicacoes Ltda - Shopping Praça da Moça - KIOSQUE;1,45E+12;Shopping Praça da Moça;Rake & Rai Telecomunicacoes Ltda;C;SP;Diadema;Centro;Rua Manoel Da Nobrega, 712 - Q13 Piso Paineiras; -; -; -
Rake & Rai Telecomunicacoes Ltda - Shopping San Pelegrino - KIOSQUE;1,45E+12;Shopping San Pelegrino;Rake & Rai Telecomunicacoes Ltda;C;RS;Caxias do Sul;São Pelegrino;Av. Rio Branco, 452, QN03 – Bairro São Pelegrino – Caxias do Sul – RS CEP: 98450-000; -; -; -
Rastrecall  Representações Comerciais  - Américas Shopping - KIOSQUE;5,05E+12;Américas Shopping;Rastrecall  Representações Comerciais ;C;RJ;Rio de Janeiro;Recreio dos Bandeirantes;Av das Américas, n15.500, Recreio dos Bandeirantes, Rio de Janeiro/RJ (Kiosk 2A – L1) CEP:22790-702; -; -; -
Rastrecall  Representações Comerciais  - Américas Shopping - KIOSQUE;5,05E+12;Américas Shopping;Rastrecall  Representações Comerciais ;C;RJ;Rio de Janeiro;Recreio dos Bandeirantes;Av das Américas, n15.500, Recreio dos Bandeirantes, Rio de Janeiro/RJ (Kiosk 2A – L1) CEP:22790-702; -; -; -
Rastrecall  Representações Comerciais  - Boulevard Rio - KIOSQUE;5,05E+12;Boulevard Rio;Rastrecall  Representações Comerciais ;C;RJ;Rio de Janeiro; Vila Isabel;RUA BARÃO DE SÃO FRANCISCO, 236 QUIOSQUE 103 – VILA ISABEL – CEP 20560-030; -; -; -
Rastrecall  Representações Comerciais  - Carioca Shopping - KIOSQUE;5,05E+12;Carioca Shopping;Rastrecall  Representações Comerciais ;C;RJ;Rio de Janeiro;Vicente De Carvalho ;Avenida Vicente De Carvalho, 909,quiosque 105 piso 1 - VICENTE DE CARVALHO,  Rio De Janeiro - Rj, ; -; -; -
Rastrecall  Representações Comerciais  - Center Shopping - KIOSQUE;5,05E+12;Center Shopping;Rastrecall  Representações Comerciais ;C;RJ;Rio de Janeiro;TANQUE;Rua Geremario Dantas, 404 - Rio de Janeiro / RJ - QUIOSQ: Q11 PISO L1; -; -; -
Rastrecall  Representações Comerciais  - Ilha Plaza - KIOSQUE;5,05E+12;Ilha Plaza;Rastrecall  Representações Comerciais ;C;RJ;Rio de Janeiro;Ilha do Governador;AV. MAESTRO PAULO E SILVA, 400 (Q SIPE 213B - 2 PISO) CEP: 21920440; -; -; -
Rastrecall  Representações Comerciais  - Itaguai Shopping - KIOSQUE;5,05E+12;Itaguai Shopping;Rastrecall  Representações Comerciais ;C;RJ;Itaguai;Centro;Rua Doutor Curvelo Cavalcanti, 189 Ilha 003 1 Piso - CEP. 23815-291 - Centro - Itaguai - RJ; -; -; -
Rastrecall  Representações Comerciais  - Madureira Shopping - KIOSQUE;5,05E+12;Madureira Shopping;Rastrecall  Representações Comerciais ;C;RJ;Rio de Janeiro;Madureira;Estrada do Portela, 222 Quiosque L1 Q06E - CEP. 21351-051 - Madureira - RJ; -; -; -
