"Nome","CNPJ","Razao","Rede","Cluster","Estado","Cidade","Bairro","Endereco","Numero","Complemento","Pontos",,,,,,,
"Aquilon Telecomunica��es Ltda - Catuai Shopping Maringa - LOJA",8,120000000000000,"Catuai Shopping Maringa","Aquilon Telecomunica��es Ltda","B","PR","Maringa","Gleba Patrimonio Maringa ","Av Colombo"," 9161 Catuai Shop. Maringa Lojas 157/158 Bairro Gleba Patrimonio Maringa "," -"," -"," -",,,,,
"Aquilon Telecomunica��es Ltda - Park Shopping Barigui - LOJA",1,200000000000000,"Park Shopping Barigui","Aquilon Telecomunica��es Ltda","A","PR","Curitiba","Mossungue ","Rua: Pedro Viriato Parigot De Sousa"," 600 - Cep 81200-100 - Loja Luc 275 - Mossungue  - Curitiba (Pr)"," -"," -"," -",,,,,
"Aquilon Telecomunica��es Ltda - Shopping Esta��o  - KIOSQUE",8,120000000000000,"Shopping Esta��o ","Aquilon Telecomunica��es Ltda","B","PR","Curitiba","Rebou�as","Av. Sete de Setembro",2775," -"," -"," -",,,,,
"Aquilon Telecomunica��es Ltda - Shopping Mueller - LOJA",8,120000000000000,"Shopping Mueller","Aquilon Telecomunica��es Ltda","A","PR","Curitiba","Centro Civico ","Av Candido De Abreu"," 127 - Loja Ml-50 -Cep: 80530-000 "," -"," -"," -",,,,,
"Arte Telecom Ltda - Cidade S�o Paulo - LOJA",1,30000000000000,"Cidade S�o Paulo","Arte Telecom Ltda","A","SP","S�o Paulo","Paulista","Av Paulista"," 1230 - Bela Vista"," S�o Paulo/SP - Piso Terreo Suc 0126"," -"," -"," -",,,,
"Arte Telecom Ltda - Franca Shopping - LOJA",1,30000000000000,"Franca Shopping","Arte Telecom Ltda","B","SP","Franca","Sao Miguel ","Av Rio Negro"," 1100 Loja: 410 411 E 412 Bairro S�o Miguel"," -"," -"," -",,,,,
"Arte Telecom Ltda - Independencia Shopping - LOJA",1,30000000000000,"Independencia Shopping","Arte Telecom Ltda","B","MG","Juiz de Fora","Sao Mateus ","Av Presidente Itamar Franco, 3600, Loja: 155/156 -Piso Terreo; Cep: 36025-971 Sao Mateus - Juiz De Fora (Mg)"," -"," -"," -",,,,,,
"Arte Telecom Ltda - Itaqua Garden Shopping - KIOSQUE",1,30000000000000,"Itaqua Garden Shopping","Arte Telecom Ltda","C","SP","S�o Paulo","Jardim Campo Limpo","Estrada Municipal do Mandi"," 1205 - Quiosque s/n - Piso Superior"," -"," -"," -",,,,,
"Arte Telecom Ltda - KSK Buriti  - KIOSQUE",1,30000000000000,"KSK Buriti ","Arte Telecom Ltda","C","SP ","MOGI GUA��","PEDREGULHAL","RUA FRANCISCO FRANCO DE GODOI BUENO",801," QT 27"," PEDREGULHAL"," MOGI GUA��"," SP"," CEP 13845-180"," -"," -"," -"
"Arte Telecom Ltda - Mogi Shopping - KIOSQUE",1,30000000000000,"Mogi Shopping","Arte Telecom Ltda","B","SP","Mogi das Cruzes","Centro","Av. Vereador Narciso Yague� Gumaraes "," N 1001� Quiosque 23 A"," -"," -"," -",,,,,
"Arte Telecom Ltda - Novo Shopping Center Ribeir�o Preto - LOJA",1,30000000000000,"Novo Shopping Center Ribeir�o Preto","Arte Telecom Ltda","B","SP ","RIBEIR�O PRETO","RIBEIR�NEA","AVENIDA PRESIDENTE KENNEDY"," 1500 - QUIOSQUE K30"," -"," -"," -",,,,,
"Arte Telecom Ltda - Parque Dom Pedro Shopping - LOJA",1,30000000000000,"Parque Dom Pedro Shopping","Arte Telecom Ltda","A","SP","Campinas","Jardim Santa Genebra ","Av. Guilherme Campos"," 500 - Loja 264-265 - Jd. Santa Genebra Campinas (Sp) - Cep 13087-901"," -"," -"," -",,,,,
"Arte Telecom Ltda - Patio Limeira - KIOSQUE",1,30000000000000,"Patio Limeira","Arte Telecom Ltda","C","SP","Limeira","CENTRO ","Rua Carlos Gomes 1321 quiosque 64 "," -"," -"," -",,,,,,
"Arte Telecom Ltda - Polo Indaiatuba Shopping - LOJA",1,30000000000000,"#N/D","#N/D","B","SP","Indaiatuba","#N/D","#N/D"," -"," -"," -",,,,,,
"Arte Telecom Ltda - Ribeir�o Shopping - LOJA",1,30000000000000,"Ribeir�o Shopping","Arte Telecom Ltda","A","SP","Ribeir�o Preto","Jd. California","Av. Cel. Fernando Ferreira Leite"," 1540 - Subsetor Sul 5 - Loja 147"," -"," -"," -",,,,,
"Arte Telecom Ltda - Shopping Butant�  - KIOSQUE",1,30000000000000,"Shopping Butant� ","Arte Telecom Ltda","C","SP","S�o Paulo","BUTANT�","Av. Prof. Francisco Morato"," 2718 � Quiosque: QT-1M"," -"," -"," -",,,,,
"Arte Telecom Ltda - Shopping Campinas - LOJA",1,30000000000000,"Shopping Campinas","Arte Telecom Ltda","C","SP","Campinas","Jardim Do Lago ","R Jacy Teixeira De Camargo"," 940 Quioesque 32�"," -"," -"," -",,,,,
"Arte Telecom Ltda - Shopping Campo Grande - LOJA",1,30000000000000,"Shopping Campo Grande","Arte Telecom Ltda","B","MS","Campo Grande","Santa Fe ","Av Afonso Pena",4909," Loja 2019 A Cep: 79031-900 - Santa Fe - Campo Grande Ms"," -"," -"," -",,,,
"Arte Telecom Ltda - Shopping D - LOJA",1,30000000000000,"Shopping D","Arte Telecom Ltda","C","SP","S�o Paulo","Caninde ","Av. Cruzeiro Do Sul 1.100  Loja 1054 "," -"," -"," -",,,,,,
"Arte Telecom Ltda - Shopping Grand Plaza - LOJA",1,30000000000000,"Shopping Grand Plaza","Arte Telecom Ltda","A","SP","Santo Andr�","Jardim ","Av. Industrial"," 600 Loja 329 Cep 09080-500  Jardim - Santo Andr� (Sp)"," -"," -"," -",,,,,
"Arte Telecom Ltda - Shopping Iguatemi Campinas  - LOJA",1,30000000000000,"Shopping Iguatemi Campinas ","Arte Telecom Ltda","A","SP","Campinas","Vila Brandina ","Av. Iguatemi"," 777 Quiosque Em Frente Da Claro 102 - Cep 13092-500 - Vila Brandina - Campinas - S�o Paulo"," -"," -"," -",,,,,
"Arte Telecom Ltda - Shopping Iguatemi S�o Carlos - KIOSQUE",1,30000000000000,"Shopping Iguatemi S�o Carlos","Arte Telecom Ltda","C","SP","S�o Carlos","Parque Faber Castelli","Passeio Dos Flamboyants, 200 Quiosq: Q - 109; "," -"," -"," -",,,,,,
"Arte Telecom Ltda - Shopping Jaragu�  - KIOSQUE",1,30000000000000,"Shopping Montes Claros","Arte Telecom Ltda / ATYV","C","SP","ARARAQUARA","JARDIM BANDEIRANTES","AV ALBERTO BENASSI 2.270 QUIOSQQ 27 SHOPPING JARAGUA ARA"," -"," -"," -",,,,,,
"Arte Telecom Ltda - Shopping Norte Sul Plaza - KIOSQUE",1,30000000000000,"Shopping do Vale do A�o","Arte Telecom Ltda / ATYV","C","MS","Campo Grande","Jardim J�quei Club","Avenida Presidente Ernesto Geisel"," 2300 - Jardim J�quei Club"," Campo Grande - MS "," -"," -"," -",,,,
"Arte Telecom Ltda - Shopping Parque das Bandeiras - KIOSQUE",1,30000000000000,"Minas Shopping","Arte Telecom Ltda / ATYV","C","SP","Campinas","Jardim Ipaussurama ","Av John Boyd Dunlop "," N 3900 - Quiosque 302 - Piso L3 Cep 13060-803 Campinas Sp"," -"," -"," -",,,,,
"Arte Telecom Ltda - Shopping Suzano - KIOSQUE",1,30000000000000,"Itau Power Shopping","Arte Telecom Ltda / ATYV","C","SP","Suzano","Parque Suzano","R SETE DE SETEMBRO"," 555 - Q 18 - Suzano"," SP (08673-020)"," -"," -"," -",,,,
