Nome,CNPJ,Razao,REDE,Cluster,Estado,Cidade,Bairro,Endereco,Numero,Complemento,Pontos
Mastercell Com De Eletronicos Ltda - Itajai Shopping Center - KIOSQUE,2455036002139,Itajai Shopping Center,NEOR-012,C,SC,Itajai,Centro ," Rua Samuel Heusi, 234, Quiosque 07  Cep: 88301-320 Centro ",,,
Mastercell Com De Eletronicos Ltda - Joinville Garten Shopping - LOJA,2455036001833,Joinville Garten Shopping,NEOR-012,B,SC,Joinville,Bom Retiro ,"R. Rolf Wiest, 333 loja 114 Bom Retiro Cep 89223-005 - Joinville",,,
Mastercell Com De Eletronicos Ltda - Lages Garden Shopping - LOJA,2455036003372,Lages Garden Shopping,NEOR-012,C,SC,Lages,Guaruja,Rod Br 282 Km 216 S/N Loja 24 E 25 Lages Guarden Shopping ,,,
Mastercell Com De Eletronicos Ltda - Nações Shopping - LOJA,2455036003534,Nações Shopping,NEOR-012,C,SC,Criciuma,Nossa Sra da Saleta,"Avenida Jorge Elias De Lucca, 677 - Bairro Nossa Sra da Saleta / Criciuma - SC (loja 124) CEP 88813-390",,,
Mastercell Com De Eletronicos Ltda - Neumarkt Shopping - LOJA,2455036003887,Neumarkt Shopping,NEOR-012,B,SC,Blumenau,Centro ,"R Sete De Setembro, 1213 - Loja 126  - Cep: 89010-911 - Centro - Blumenau",,,
Mastercell Com De Eletronicos Ltda - Norte Shopping Blumenau - KIOSQUE,2455036001914,Norte Shopping Blumenau,NEOR-012,C,SC,Blumenau,Salto Norte ,"Rod Br 470, 3000- Quiosq28 - Cep 89065-800 Bairro Salto Norte 
",,,
Mastercell Com De Eletronicos Ltda - Shopping Iguatemi Floripa - LOJA,2455036000780,Shopping Iguatemi Floripa,NEOR-012,A,SC,Florianópolis,Santa Monica ,"Av. Madre Benvenuta, 687 - Sala 269 - Cep: 88035-000 - Santa Mônica - Florianópolis (Sc)",,,
Mastercell Com De Eletronicos Ltda - Shopping Iguatemi Floripa - LOJA,2455036004182,Shopping Iguatemi Floripa,NEOR-012,C,SC,Florianópolis,Santa Monica ,"Av. Madre Benvenuta, 687 - Sala 269 - Cep: 88035-000 - Santa Mônica - Florianópolis (Sc)",,,
Mastercell Com De Eletronicos Ltda - Shopping Itaguaçu - LOJA,2455036002210,Shopping Itaguaçu,NEOR-012,C,SC,São José,Barreiros Sede ,"R Geroncio Thives, 1079 Loja 257 Bairro São Barreiros Sede",,,
Mastercell Com De Eletronicos Ltda - Shopping Mueller Joinville - KIOSQUE,2455036002481,Shopping Mueller Joinville,NEOR-012,C,SC,Joinville,Centro,"Rua Senador Felipe Schmidt, 235 (ksk18 - 2° Andar) - Centro, Joinville - SC, 89201-440",,,
Mastercell Com De Eletronicos Ltda - Shopping Patio Chapeco - LOJA,2455036003453,Shopping Patio Chapeco,NEOR-012,B,SC,Chapecó,Lider ,"Av Fernando Machado, 4000, D Loja 06, Lider - Chapecó - Sc ",,,
Mastercell Com De Eletronicos Ltda - Shopping Via Catarina  - KIOSQUE,2455036003615,Shopping Via Catarina ,NEOR-012,C,SC,Palhoça ,PAGANI,"AV ATÍLIO PEDRO PAGANI, N270, ANDAR 1 QUIOSQUE 3, CEP 88132-149, PALHOÇA-SC ",,,
Mms Do Brasil Ltda - Brisamar Shopping - LOJA,8339569000350,Brisamar Shopping,NEOR-013,C,SP,São Vicente,Centro,"R Frei Gaspar, 365 - Piso 2 loja 211 -  Sao Vicente ",,,
Mms Do Brasil Ltda - Litoral Plaza - LOJA,8339569000864,Litoral Plaza,NEOR-013,B,SP,Praia Grande,TUDE BASTOS (SITIO DO CAMPO),"AV AYRTON SENNA DA SILVA, 1511 LOJA 62",,,
Mms Do Brasil Ltda - Maua Plaza - LOJA,8339569001240,Maua Plaza,NEOR-013,C,SP,Maua,Centro,"Av Governador Mario Covas Junior (Vl F N Morelli), Nº1 Loja: 25/27; ",,,
Mms Do Brasil Ltda - Miramar Shopping - LOJA,8339569001674,Miramar Shopping,NEOR-013,B,SP,Santos,Gonzaga ,"Av Marechal Floriano Peixoto, 44 - Loja 53 - Cep: 11060-300 Gonzaga - Santos (Sp)",,,
Mms Do Brasil Ltda - Praiamar Shopping - LOJA,8339569000945,Praiamar Shopping,NEOR-013,A,SP,Santos,Aparecida ,"R. Alexandre Martins, N 80, Loja 01, Aparecida - Santos - Sp / Cep 11025-200",,,
